Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0023050784941594,0.000787651476062384,0.00938957145256008,0,0,0,5.31392098334851,0.00874227594683645,2.08524954779002E-06,3.91022569694446E-07,0.00891593607580117,4.33240016827745E-07,0.00902773976647324,0,0,0,0,0,0,package://dog_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/base_link.STL,,base_link-2,C_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0586708362293079,0.00174712967469963,-7.8795421490147E-05,0,0,0,0.230146330118093,0.000145714252035461,-1.35495978782419E-07,-3.33188023713209E-07,0.000246238315405917,-2.59322004393892E-08,0.000128357183764396,0,0,0,0,0,0,package://dog_urdf/meshes/FL_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/FL_hip.STL,,hip-5,C_FL_hip,FL_hip,FL_hip_joint,revolute,0.1426,0.046487,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FL_thigh,3.96131492397256E-06,0.0530216135226285,-0.0127549994713949,0,0,0,0.978596689781306,0.000999824561330957,-2.53313934487292E-07,-6.77603647230633E-07,0.00143499535697583,-1.56862596470955E-05,0.000773011521838463,0,0,0,0,0,0,package://dog_urdf/meshes/FL_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/FL_thigh.STL,,thigh-5,C_FL_thigh,FL_thigh,FL_thigh_joint,revolute,0.0645133382530963,0.0204632257018415,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,3.05292895786818E-05,-9.36885009469417E-05,-0.0670819670227258,0,0,0,0.174854579981966,0.000347514079997905,9.59597363222395E-08,-3.10971733237804E-07,0.000363518361270919,-1.28911233952037E-06,2.29103709558954E-05,0,0,0,0,0,0,package://dog_urdf/meshes/FL_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/FL_calf.STL,,calf-5,C_FL_calf,FL_calf,FL_calf_joint,revolute,-1.42640517181852E-05,0.0922000000000003,-0.179998920942403,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,3.03153155772895E-08,3.64375196681976E-13,0.00474142838422875,0,0,0,0.0179075406761494,1.99645361745723E-06,-1.49762941280545E-11,-6.09491739163073E-12,3.20707388303332E-06,1.94067313721918E-16,2.94967483562761E-06,0,0,0,0,0,0,package://dog_urdf/meshes/FL_foot.STL,1,0.341176470588235,0.56078431372549,1,0,0,0,0,0,0,package://dog_urdf/meshes/FL_foot.STL,,foot-1,C_FL_foot,Axis_FL_foot_joint,FL_foot_joint,fixed,0,0,-0.181256552442634,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.0586708362293078,-0.00172067827101646,8.04098946586701E-05,0,0,0,0.230146330118094,0.000145714252035463,1.35495978782589E-07,3.3318802371418E-07,0.000246238315405917,-2.59322004390303E-08,0.000128357183764394,0,0,0,0,0,0,package://dog_urdf/meshes/FR_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/FR_hip.STL,,hip-8,C_FR_hip,FR_hip,FR_hip_joint,revolute,0.1426,-0.046513,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-3.04126993064119E-05,-0.0530216135200461,-0.0127566141119383,0,0,0,0.978596689740029,0.000999824561145867,-2.53314197794912E-07,6.77603302787856E-07,0.00143499535680593,1.56862595632765E-05,0.000773011521758588,0,0,0,0,0,0,package://dog_urdf/meshes/FR_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/FR_thigh.STL,,thigh-6,C_FR_thigh,FR_thigh,FR_thigh_joint,revolute,0.0645133382530963,-0.0204367742981588,0,0,0,0,FR_hip,0,-1,0,0,0,0,0,,,,,,,,
FR_calf,-3.05292895772663E-05,9.36885009465982E-05,-0.067081967022727,0,0,0,0.174854579981967,0.000347514079997906,9.59597363222394E-08,3.10971733237232E-07,0.00036351836127092,1.28911233952038E-06,2.29103709558955E-05,0,0,0,0,0,0,package://dog_urdf/meshes/FR_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/FR_calf.STL,,calf-9,C_FR_calf,FR_calf,FR_calf_joint,revolute,-1.21873416425722E-05,-0.0922,-0.1800005355847,0,0,0,FR_thigh,0,-1,0,0,0,0,0,,,,,,,,
FR_foot,-3.03153155911673E-08,-3.64430707833208E-13,0.0047414283842287,0,0,0,0.0179075406761492,1.9964536174572E-06,-1.49762941259772E-11,6.09491739153637E-12,3.20707388303328E-06,-1.94066194464282E-16,2.94967483562758E-06,0,0,0,0,0,0,package://dog_urdf/meshes/FR_foot.STL,1,0.341176470588235,0.56078431372549,1,0,0,0,0,0,0,package://dog_urdf/meshes/FR_foot.STL,,foot-2,C_FR_foot,Axis_FR_foot_joint,FR_foot_joint,fixed,0,0,-0.181256552442636,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.0586708362289704,0.00172067827077711,8.04098945089288E-05,0,0,0,0.230146330113268,0.000145714252035152,1.35495978608697E-07,-3.33188023368129E-07,0.000246238315405198,2.59322005633722E-08,0.000128357183763865,0,0,0,0,0,0,package://dog_urdf/meshes/RL_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog_urdf/meshes/RL_hip.STL,,hip-6,C_RL_hip,RL_hip,RL_hip_joint,revolute,-0.1426,0.046513,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
